QuestionId,Category,IsToolCallMatch,ParameterAccuracyScore,JudgeAccuracy,JudgeCompleteness,JudgeClarity,PromptTokens,CompletionTokens,TotalTokens,ExecutionDurationMs,ErrorMessage
1,"Clients",1,0.0000,5,2,3,5942,138,6080,2919,
2,"Clients",1,0.0000,4,1,3,5958,145,6103,2526,
3,"Clients",1,0.0000,5,2,3,5853,59,5912,1545,
4,"Clients",1,0.0000,5,2,3,5937,133,6070,2258,
5,"Clients",1,0.0000,5,2,3,5945,157,6102,2238,
6,"Clients",1,1.0000,5,2,3,5937,170,6107,2606,
7,"Clients",1,0.0000,5,2,3,5954,138,6092,2132,
8,"Clients",1,1.0000,5,2,3,5997,250,6247,2911,
9,"Clients",1,1.0000,5,2,3,5961,145,6106,2315,
10,"Invoices",1,1.0000,5,2,3,6749,481,7230,4956,
11,"Invoices",1,0.0000,5,2,3,6292,575,6867,6027,
12,"Invoices",1,0.0000,5,2,3,6405,546,6951,5829,
13,"Invoices",1,0.0000,5,2,3,6706,1003,7709,9393,
14,"Invoices",1,0.0000,2,1,2,7044,728,7772,6767,
15,"Invoices",1,0.0000,5,2,3,6438,455,6893,4658,
16,"Invoices",1,1.0000,4,1,2,6943,1018,7961,8508,
17,"Invoices",1,1.0000,4,2,2,6962,1018,7980,8828,
18,"Invoices",0,1.0000,5,2,3,6637,917,7554,8224,
19,"Invoices",0,0.0000,5,2,3,5964,52,6016,1484,
20,"Invoices",0,0.5000,5,2,3,6974,369,7343,3900,
21,"Invoices",1,1.0000,5,2,3,5824,59,5883,1620,
22,"Invoices",1,1.0000,5,2,3,6312,329,6641,3849,
23,"Invoices",1,1.0000,5,2,3,6315,253,6568,2977,
24,"Invoices",0,1.0000,5,2,3,5965,200,6165,5753,
25,"Invoices",0,0.0000,5,2,3,10250,428,10678,5140,
26,"Expenses",1,0.0000,5,2,3,6163,333,6496,3812,
27,"Expenses",1,1.0000,5,2,3,5947,178,6125,2510,
28,"Expenses",0,0.0000,5,2,3,2899,52,2951,1004,
29,"Expenses",1,1.0000,5,2,3,6078,371,6449,3847,
30,"Expenses",0,1.0000,5,2,3,6096,400,6496,4698,
31,"Expenses",0,1.0000,5,2,3,6086,156,6242,2672,
32,"Expenses",1,1.0000,5,2,3,5846,124,5970,2726,
33,"Expenses",1,1.0000,5,2,3,5925,199,6124,2658,
34,"Taxes",1,1.0000,0,1,2,6456,127,6583,2342,
35,"Taxes",0,1.0000,2,1,2,6715,641,7356,7312,
36,"Taxes",1,1.0000,4,1,2,6854,1019,7873,11238,
37,"Taxes",0,0.0000,5,2,3,5948,228,6176,3411,
38,"Taxes",1,1.0000,5,2,3,5950,202,6152,3198,
39,"Taxes",1,1.0000,5,2,3,5866,122,5988,2509,
40,"Taxes",1,1.0000,5,2,3,5853,112,5965,1905,
41,"Taxes",1,1.0000,5,2,3,5932,230,6162,3298,
42,"Taxes",1,1.0000,5,2,3,5821,51,5872,1902,
43,"Taxes",1,1.0000,5,2,3,5826,72,5898,1686,
44,"Taxes",0,1.0000,0,1,2,6458,83,6541,1912,
45,"Taxes",0,0.0000,5,1,3,2897,53,2950,1184,
46,"Analytics",1,1.0000,5,2,3,6091,211,6302,3350,
47,"Analytics",1,1.0000,5,2,3,6041,184,6225,2907,
48,"Analytics",1,1.0000,5,2,3,5881,81,5962,1726,
49,"Analytics",0,1.0000,5,2,3,6235,366,6601,3811,
50,"Analytics",1,0.5000,5,2,3,5918,135,6053,3057,
51,"Analytics",1,0.5000,5,1,3,5917,165,6082,2997,
52,"Analytics",0,0.0000,5,1,2,2902,53,2955,1150,
53,"Analytics",1,1.0000,5,2,3,6063,236,6299,3115,
54,"Analytics",1,0.0000,5,2,3,6068,157,6225,3073,
55,"Analytics",0,0.0000,5,2,3,5936,179,6115,2260,
56,"Analytics",1,1.0000,5,2,3,5993,134,6127,2219,
57,"Analytics",0,1.0000,5,2,3,5932,214,6146,3336,
58,"Profile/Other",1,1.0000,5,2,3,5898,142,6040,2286,
59,"Profile/Other",1,1.0000,5,2,3,5974,157,6131,3421,
60,"Profile/Other",1,0.0000,5,2,3,6003,138,6141,2300,
61,"Profile/Other",1,0.0000,5,2,3,6005,161,6166,2368,
62,"Profile/Other",1,1.0000,5,2,3,5898,49,5947,1411,
63,"Profile/Other",1,1.0000,5,2,3,5972,152,6124,2287,
64,"Multi-tool",1,1.0000,5,2,3,6233,338,6571,3532,
65,"Multi-tool",1,0.0000,5,2,3,6117,251,6368,2839,
66,"Multi-tool",1,0.0000,5,2,3,6241,297,6538,3274,
67,"Multi-tool",1,1.0000,5,2,3,7512,970,8482,8078,
68,"Multi-tool",1,1.0000,5,2,3,6852,593,7445,5058,
69,"Multi-tool",0,1.0000,4,2,3,7361,219,7580,2790,
70,"Multi-tool",1,1.0000,5,2,3,6966,361,7327,3793,
71,"Multi-tool",1,0.5000,5,2,3,6075,278,6353,3375,
72,"Multi-tool",1,1.0000,5,2,3,7182,1047,8229,8752,
73,"Multi-tool",1,1.0000,5,2,3,6890,606,7496,5351,
74,"Multi-tool",1,0.0000,5,2,3,7845,1051,8896,8512,
75,"Multi-tool",0,0.5000,5,1,2,7381,420,7801,4062,
76,"Multi-tool",0,1.0000,0,0,0,7031,736,7767,6024,
77,"Multi-tool",1,1.0000,5,2,3,6208,317,6525,3451,
78,"Multi-tool",1,0.0000,5,2,3,6116,232,6348,2842,
79,"Multi-tool",1,0.0000,5,2,3,6548,578,7126,5402,
80,"Multi-tool",1,0.0000,5,2,3,6094,201,6295,2516,
81,"Negative/General QA",1,1.0000,5,2,3,2895,200,3095,1852,
82,"Negative/General QA",1,1.0000,5,2,3,2901,266,3167,3464,
83,"Negative/General QA",1,1.0000,5,2,3,2904,121,3025,1360,
84,"Negative/General QA",1,1.0000,4,2,3,2899,343,3242,3338,
85,"Negative/General QA",1,1.0000,5,2,3,2900,330,3230,2866,
86,"Negative/Action Trap",1,1.0000,2,0,2,2903,45,2948,844,
87,"Negative/Action Trap",1,1.0000,5,2,3,2903,83,2986,1224,
88,"Negative/Action Trap",1,1.0000,2,1,2,2901,45,2946,924,
89,"Negative/Action Trap",1,1.0000,5,1,2,2903,45,2948,860,
90,"Negative/Action Trap",0,1.0000,0,1,2,5934,78,6012,1816,
91,"Negative/Irrelevant",1,1.0000,5,0,3,2895,45,2940,799,
92,"Negative/Irrelevant",1,1.0000,5,0,2,2900,45,2945,944,
93,"Negative/Irrelevant",1,1.0000,0,0,0,2901,45,2946,832,
94,"Negative/Irrelevant",1,1.0000,5,1,3,2901,45,2946,839,
95,"Negative/Irrelevant",1,1.0000,0,0,3,2895,45,2940,1223,
96,"Negative/Security Trap",1,1.0000,0,0,2,2897,45,2942,887,
97,"Negative/Security Trap",1,1.0000,0,0,2,2900,45,2945,952,
98,"Negative/General QA",1,1.0000,5,2,3,2907,210,3117,2171,
99,"Negative/General QA",1,1.0000,5,2,3,2898,147,3045,1496,
100,"Negative/General QA",1,1.0000,5,2,3,2896,111,3007,1291,
